region,parent,family,mark
root,root,root,excluded
grey,root,root,excluded
CH,root,root,excluded
CTX,root,root,excluded
CTXpl,root,root,excluded
Isocortex,Isocortex,Isocortex,upper
FRP,FRP,Isocortex,bottom
FRP1,FRP,Isocortex,bottom
FRP2/3,FRP,Isocortex,bottom
FRP5,FRP,Isocortex,bottom
FRP6a,FRP,Isocortex,bottom
FRP6b,FRP,Isocortex,bottom
MO,MO,Isocortex,bottom
MO1,MO,Isocortex,bottom
MO2/3,MO,Isocortex,bottom
MO5,MO,Isocortex,bottom
MO6a,MO,Isocortex,bottom
MO6b,MO,Isocortex,bottom
MOp,MO,Isocortex,bottom
MOp1,MO,Isocortex,bottom
MOp2/3,MO,Isocortex,bottom
MOp5,MO,Isocortex,bottom
MOp6a,MO,Isocortex,bottom
MOp6b,MO,Isocortex,bottom
MOs,MO,Isocortex,bottom
MOs1,MO,Isocortex,bottom
MOs2/3,MO,Isocortex,bottom
MOs5,MO,Isocortex,bottom
MOs6a,MO,Isocortex,bottom
MOs6b,MO,Isocortex,bottom
SS,SS,Isocortex,bottom
SS1,SS,Isocortex,bottom
SS2/3,SS,Isocortex,bottom
SS4,SS,Isocortex,bottom
SS5,SS,Isocortex,bottom
SS6a,SS,Isocortex,bottom
SS6b,SS,Isocortex,bottom
SSp,SS,Isocortex,bottom
SSp1,SS,Isocortex,bottom
SSp2/3,SS,Isocortex,bottom
SSp4,SS,Isocortex,bottom
SSp5,SS,Isocortex,bottom
SSp6a,SS,Isocortex,bottom
SSp6b,SS,Isocortex,bottom
SSp-n,SS,Isocortex,bottom
SSp-n1,SS,Isocortex,bottom
SSp-n2/3,SS,Isocortex,bottom
SSp-n4,SS,Isocortex,bottom
SSp-n5,SS,Isocortex,bottom
SSp-n6a,SS,Isocortex,bottom
SSp-n6b,SS,Isocortex,bottom
SSp-bfd,SS,Isocortex,bottom
SSp-bfd1,SS,Isocortex,bottom
SSp-bfd2/3,SS,Isocortex,bottom
SSp-bfd4,SS,Isocortex,bottom
SSp-bfd5,SS,Isocortex,bottom
SSp-bfd6a,SS,Isocortex,bottom
SSp-bfd6b,SS,Isocortex,bottom
VISrll,SS,Isocortex,bottom
VISrll1,SS,Isocortex,bottom
VISrll2/3,SS,Isocortex,bottom
VISrll4,SS,Isocortex,bottom
VISrll5,SS,Isocortex,bottom
VISrll6a,SS,Isocortex,bottom
VISrll6b,SS,Isocortex,bottom
SSp-ll,SS,Isocortex,bottom
SSp-ll1,SS,Isocortex,bottom
SSp-ll2/3,SS,Isocortex,bottom
SSp-ll4,SS,Isocortex,bottom
SSp-ll5,SS,Isocortex,bottom
SSp-ll6a,SS,Isocortex,bottom
SSp-ll6b,SS,Isocortex,bottom
SSp-m,SS,Isocortex,bottom
SSp-m1,SS,Isocortex,bottom
SSp-m2/3,SS,Isocortex,bottom
SSp-m4,SS,Isocortex,bottom
SSp-m5,SS,Isocortex,bottom
SSp-m6a,SS,Isocortex,bottom
SSp-m6b,SS,Isocortex,bottom
SSp-ul,SS,Isocortex,bottom
SSp-ul1,SS,Isocortex,bottom
SSp-ul2/3,SS,Isocortex,bottom
SSp-ul4,SS,Isocortex,bottom
SSp-ul5,SS,Isocortex,bottom
SSp-ul6a,SS,Isocortex,bottom
SSp-ul6b,SS,Isocortex,bottom
SSp-tr,SS,Isocortex,bottom
SSp-tr1,SS,Isocortex,bottom
SSp-tr2/3,SS,Isocortex,bottom
SSp-tr4,SS,Isocortex,bottom
SSp-tr5,SS,Isocortex,bottom
SSp-tr6a,SS,Isocortex,bottom
SSp-tr6b,SS,Isocortex,bottom
SSp-un,SS,Isocortex,bottom
SSp-un1,SS,Isocortex,bottom
SSp-un2/3,SS,Isocortex,bottom
SSp-un4,SS,Isocortex,bottom
SSp-un5,SS,Isocortex,bottom
SSp-un6a,SS,Isocortex,bottom
SSp-un6b,SS,Isocortex,bottom
SSs,SS,Isocortex,bottom
SSs1,SS,Isocortex,bottom
SSs2/3,SS,Isocortex,bottom
SSs4,SS,Isocortex,bottom
SSs5,SS,Isocortex,bottom
SSs6a,SS,Isocortex,bottom
SSs6b,SS,Isocortex,bottom
GU,GU,Isocortex,bottom
GU1,GU,Isocortex,bottom
GU2/3,GU,Isocortex,bottom
GU4,GU,Isocortex,bottom
GU5,GU,Isocortex,bottom
GU6a,GU,Isocortex,bottom
GU6b,GU,Isocortex,bottom
VISC,VISC,Isocortex,bottom
VISC1,VISC,Isocortex,bottom
VISC2/3,VISC,Isocortex,bottom
VISC4,VISC,Isocortex,bottom
VISC5,VISC,Isocortex,bottom
VISC6a,VISC,Isocortex,bottom
VISC6b,VISC,Isocortex,bottom
AUD,AUD,Isocortex,bottom
AUDd,AUD,Isocortex,bottom
AUDd1,AUD,Isocortex,bottom
AUDd2/3,AUD,Isocortex,bottom
AUDd4,AUD,Isocortex,bottom
AUDd5,AUD,Isocortex,bottom
AUDd6a,AUD,Isocortex,bottom
AUDd6b,AUD,Isocortex,bottom
VISlla,AUD,Isocortex,bottom
VISlla1,AUD,Isocortex,bottom
VISlla2/3,AUD,Isocortex,bottom
VISlla4,AUD,Isocortex,bottom
VISlla5,AUD,Isocortex,bottom
VISlla6a,AUD,Isocortex,bottom
VISlla6b,AUD,Isocortex,bottom
AUDp,AUD,Isocortex,bottom
AUDp1,AUD,Isocortex,bottom
AUDp2/3,AUD,Isocortex,bottom
AUDp4,AUD,Isocortex,bottom
AUDp5,AUD,Isocortex,bottom
AUDp6a,AUD,Isocortex,bottom
AUDp6b,AUD,Isocortex,bottom
AUDpo,AUD,Isocortex,bottom
AUDpo1,AUD,Isocortex,bottom
AUDpo2/3,AUD,Isocortex,bottom
AUDpo4,AUD,Isocortex,bottom
AUDpo5,AUD,Isocortex,bottom
AUDpo6a,AUD,Isocortex,bottom
AUDpo6b,AUD,Isocortex,bottom
AUDv,AUD,Isocortex,bottom
AUDv1,AUD,Isocortex,bottom
AUDv2/3,AUD,Isocortex,bottom
AUDv4,AUD,Isocortex,bottom
AUDv5,AUD,Isocortex,bottom
AUDv6a,AUD,Isocortex,bottom
AUDv6b,AUD,Isocortex,bottom
VIS,VIS,Isocortex,bottom
VIS1,VIS,Isocortex,bottom
VIS2/3,VIS,Isocortex,bottom
VIS4,VIS,Isocortex,bottom
VIS5,VIS,Isocortex,bottom
VIS6a,VIS,Isocortex,bottom
VIS6b,VIS,Isocortex,bottom
VISal,VIS,Isocortex,bottom
VISal1,VIS,Isocortex,bottom
VISal2/3,VIS,Isocortex,bottom
VISal4,VIS,Isocortex,bottom
VISal5,VIS,Isocortex,bottom
VISal6a,VIS,Isocortex,bottom
VISal6b,VIS,Isocortex,bottom
VISam,VIS,Isocortex,bottom
VISam1,VIS,Isocortex,bottom
VISam2/3,VIS,Isocortex,bottom
VISam4,VIS,Isocortex,bottom
VISam5,VIS,Isocortex,bottom
VISam6a,VIS,Isocortex,bottom
VISam6b,VIS,Isocortex,bottom
VISl,VIS,Isocortex,bottom
VISl1,VIS,Isocortex,bottom
VISl2/3,VIS,Isocortex,bottom
VISl4,VIS,Isocortex,bottom
VISl5,VIS,Isocortex,bottom
VISl6a,VIS,Isocortex,bottom
VISl6b,VIS,Isocortex,bottom
VISp,VIS,Isocortex,bottom
VISp1,VIS,Isocortex,bottom
VISp2/3,VIS,Isocortex,bottom
VISp4,VIS,Isocortex,bottom
VISp5,VIS,Isocortex,bottom
VISp6a,VIS,Isocortex,bottom
VISp6b,VIS,Isocortex,bottom
VISpl,VIS,Isocortex,bottom
VISpl1,VIS,Isocortex,bottom
VISpl2/3,VIS,Isocortex,bottom
VISpl4,VIS,Isocortex,bottom
VISpl5,VIS,Isocortex,bottom
VISpl6a,VIS,Isocortex,bottom
VISpl6b,VIS,Isocortex,bottom
VISpm,VIS,Isocortex,bottom
VISpm1,VIS,Isocortex,bottom
VISpm2/3,VIS,Isocortex,bottom
VISpm4,VIS,Isocortex,bottom
VISpm5,VIS,Isocortex,bottom
VISpm6a,VIS,Isocortex,bottom
VISpm6b,VIS,Isocortex,bottom
VISli,VIS,Isocortex,bottom
VISli1,VIS,Isocortex,bottom
VISli2/3,VIS,Isocortex,bottom
VISli4,VIS,Isocortex,bottom
VISli5,VIS,Isocortex,bottom
VISli6a,VIS,Isocortex,bottom
VISli6b,VIS,Isocortex,bottom
VISpor,VIS,Isocortex,bottom
VISpor1,VIS,Isocortex,bottom
VISpor2/3,VIS,Isocortex,bottom
VISpor4,VIS,Isocortex,bottom
VISpor5,VIS,Isocortex,bottom
VISpor6a,VIS,Isocortex,bottom
VISpor6b,VIS,Isocortex,bottom
ACA,ACA,Isocortex,bottom
ACA1,ACA,Isocortex,bottom
ACA2/3,ACA,Isocortex,bottom
ACA5,ACA,Isocortex,bottom
ACA6a,ACA,Isocortex,bottom
ACA6b,ACA,Isocortex,bottom
ACAd,ACA,Isocortex,bottom
ACAd1,ACA,Isocortex,bottom
ACAd2/3,ACA,Isocortex,bottom
ACAd5,ACA,Isocortex,bottom
ACAd6a,ACA,Isocortex,bottom
ACAd6b,ACA,Isocortex,bottom
ACAv,ACA,Isocortex,bottom
ACAv1,ACA,Isocortex,bottom
ACAv2/3,ACA,Isocortex,bottom
ACAv5,ACA,Isocortex,bottom
ACAv6a,ACA,Isocortex,bottom
ACAv6b,ACA,Isocortex,bottom
PL,PL,Isocortex,bottom
PL1,PL,Isocortex,bottom
PL2,PL,Isocortex,bottom
PL2/3,PL,Isocortex,bottom
PL5,PL,Isocortex,bottom
PL6a,PL,Isocortex,bottom
PL6b,PL,Isocortex,bottom
ILA,ILA,Isocortex,bottom
ILA1,ILA,Isocortex,bottom
ILA2,ILA,Isocortex,bottom
ILA2/3,ILA,Isocortex,bottom
ILA5,ILA,Isocortex,bottom
ILA6a,ILA,Isocortex,bottom
ILA6b,ILA,Isocortex,bottom
ORB,ORB,Isocortex,bottom
ORB1,ORB,Isocortex,bottom
ORB2/3,ORB,Isocortex,bottom
ORB5,ORB,Isocortex,bottom
ORB6a,ORB,Isocortex,bottom
ORB6b,ORB,Isocortex,bottom
ORBl,ORB,Isocortex,bottom
ORBl1,ORB,Isocortex,bottom
ORBl2/3,ORB,Isocortex,bottom
ORBl5,ORB,Isocortex,bottom
ORBl6a,ORB,Isocortex,bottom
ORBl6b,ORB,Isocortex,bottom
ORBm,ORB,Isocortex,bottom
ORBm1,ORB,Isocortex,bottom
ORBm2,ORB,Isocortex,bottom
ORBm2/3,ORB,Isocortex,bottom
ORBm5,ORB,Isocortex,bottom
ORBm6a,ORB,Isocortex,bottom
ORBm6b,ORB,Isocortex,bottom
ORBv,ORB,Isocortex,bottom
ORBvl,ORB,Isocortex,bottom
ORBvl1,ORB,Isocortex,bottom
ORBvl2/3,ORB,Isocortex,bottom
ORBvl5,ORB,Isocortex,bottom
ORBvl6a,ORB,Isocortex,bottom
ORBvl6b,ORB,Isocortex,bottom
AI,AI,Isocortex,bottom
AId,AI,Isocortex,bottom
AId1,AI,Isocortex,bottom
AId2/3,AI,Isocortex,bottom
AId5,AI,Isocortex,bottom
AId6a,AI,Isocortex,bottom
AId6b,AI,Isocortex,bottom
AIp,AI,Isocortex,bottom
AIp1,AI,Isocortex,bottom
AIp2/3,AI,Isocortex,bottom
AIp5,AI,Isocortex,bottom
AIp6a,AI,Isocortex,bottom
AIp6b,AI,Isocortex,bottom
AIv,AI,Isocortex,bottom
AIv1,AI,Isocortex,bottom
AIv2/3,AI,Isocortex,bottom
AIv5,AI,Isocortex,bottom
AIv6a,AI,Isocortex,bottom
AIv6b,AI,Isocortex,bottom
RSP,RSP,Isocortex,bottom
RSPagl,RSP,Isocortex,bottom
RSPagl1,RSP,Isocortex,bottom
RSPagl2/3,RSP,Isocortex,bottom
RSPagl5,RSP,Isocortex,bottom
RSPagl6a,RSP,Isocortex,bottom
RSPagl6b,RSP,Isocortex,bottom
VISmma,RSP,Isocortex,bottom
VISmma1,RSP,Isocortex,bottom
VISmma2/3,RSP,Isocortex,bottom
VISmma4,RSP,Isocortex,bottom
VISmma5,RSP,Isocortex,bottom
VISmma6a,RSP,Isocortex,bottom
VISmma6b,RSP,Isocortex,bottom
VISmmp,RSP,Isocortex,bottom
VISmmp1,RSP,Isocortex,bottom
VISmmp2/3,RSP,Isocortex,bottom
VISmmp4,RSP,Isocortex,bottom
VISmmp5,RSP,Isocortex,bottom
VISmmp6a,RSP,Isocortex,bottom
VISmmp6b,RSP,Isocortex,bottom
VISm,RSP,Isocortex,bottom
VISm1,RSP,Isocortex,bottom
VISm2/3,RSP,Isocortex,bottom
VISm4,RSP,Isocortex,bottom
VISm5,RSP,Isocortex,bottom
VISm6a,RSP,Isocortex,bottom
VISm6b,RSP,Isocortex,bottom
RSPd,RSP,Isocortex,bottom
RSPd1,RSP,Isocortex,bottom
RSPd2/3,RSP,Isocortex,bottom
RSPd4,RSP,Isocortex,bottom
RSPd5,RSP,Isocortex,bottom
RSPd6a,RSP,Isocortex,bottom
RSPd6b,RSP,Isocortex,bottom
RSPv,RSP,Isocortex,bottom
RSPv1,RSP,Isocortex,bottom
RSPv2,RSP,Isocortex,bottom
RSPv2/3,RSP,Isocortex,bottom
RSPv5,RSP,Isocortex,bottom
RSPv6a,RSP,Isocortex,bottom
RSPv6b,RSP,Isocortex,bottom
PTLp,PTLp,Isocortex,bottom
PTLp1,PTLp,Isocortex,bottom
PTLp2/3,PTLp,Isocortex,bottom
PTLp4,PTLp,Isocortex,bottom
PTLp5,PTLp,Isocortex,bottom
PTLp6a,PTLp,Isocortex,bottom
PTLp6b,PTLp,Isocortex,bottom
VISa,PTLp,Isocortex,bottom
VISa1,PTLp,Isocortex,bottom
VISa2/3,PTLp,Isocortex,bottom
VISa4,PTLp,Isocortex,bottom
VISa5,PTLp,Isocortex,bottom
VISa6a,PTLp,Isocortex,bottom
VISa6b,PTLp,Isocortex,bottom
VISrl,PTLp,Isocortex,bottom
VISrl1,PTLp,Isocortex,bottom
VISrl2/3,PTLp,Isocortex,bottom
VISrl4,PTLp,Isocortex,bottom
VISrl5,PTLp,Isocortex,bottom
VISrl6a,PTLp,Isocortex,bottom
VISrl6b,PTLp,Isocortex,bottom
TEa,TEa,Isocortex,bottom
TEa1,TEa,Isocortex,bottom
TEa2/3,TEa,Isocortex,bottom
TEa4,TEa,Isocortex,bottom
TEa5,TEa,Isocortex,bottom
TEa6a,TEa,Isocortex,bottom
TEa6b,TEa,Isocortex,bottom
PERI,PERI,Isocortex,bottom
PERI1,PERI,Isocortex,bottom
PERI2/3,PERI,Isocortex,bottom
PERI5,PERI,Isocortex,bottom
PERI6a,PERI,Isocortex,bottom
PERI6b,PERI,Isocortex,bottom
ECT,ECT,Isocortex,bottom
ECT1,ECT,Isocortex,bottom
ECT2/3,ECT,Isocortex,bottom
ECT5,ECT,Isocortex,bottom
ECT6a,ECT,Isocortex,bottom
ECT6b,ECT,Isocortex,bottom
OLF,OLF,OLF,upper
MOB,MOB,OLF,bottom
MOBgl,MOB,OLF,bottom
MOBgr,MOB,OLF,bottom
MOBipl,MOB,OLF,bottom
MOBmi,MOB,OLF,bottom
MOBopl,MOB,OLF,bottom
AOB,AOB,OLF,bottom
AOBgl,AOB,OLF,bottom
AOBgr,AOB,OLF,bottom
AOBmi,AOB,OLF,bottom
AON,AON,OLF,bottom
AONd,AON,OLF,bottom
AONe,AON,OLF,bottom
AONl,AON,OLF,bottom
AONm,AON,OLF,bottom
AONpv,AON,OLF,bottom
AON1,AON,OLF,bottom
AON2,AON,OLF,bottom
TT,TT,OLF,bottom
TTd,TT,OLF,bottom
TTd1-4,TT,OLF,bottom
TTd1,TT,OLF,bottom
TTd2,TT,OLF,bottom
TTd3,TT,OLF,bottom
TTd4,TT,OLF,bottom
TTv,TT,OLF,bottom
TTv1-3,TT,OLF,bottom
TTv1,TT,OLF,bottom
TTv2,TT,OLF,bottom
TTv3,TT,OLF,bottom
DP,DP,OLF,bottom
DP1,DP,OLF,bottom
DP2,DP,OLF,bottom
DP2/3,DP,OLF,bottom
DP5,DP,OLF,bottom
DP6a,DP,OLF,bottom
PIR,PIR,OLF,bottom
PIR1-3,PIR,OLF,bottom
PIR1,PIR,OLF,bottom
PIR2,PIR,OLF,bottom
PIR3,PIR,OLF,bottom
NLOT,NLOT,OLF,bottom
NLOT1-3,NLOT,OLF,bottom
NLOT1,NLOT,OLF,bottom
NLOT2,NLOT,OLF,bottom
NLOT3,NLOT,OLF,bottom
COA,COA,OLF,bottom
COAa,COA,OLF,bottom
COAa1,COA,OLF,bottom
COAa2,COA,OLF,bottom
COAa3,COA,OLF,bottom
COAp,COA,OLF,bottom
COApl,COA,OLF,bottom
COApl1-2,COA,OLF,bottom
COApl1-3,COA,OLF,bottom
COApl1,COA,OLF,bottom
COApl2,COA,OLF,bottom
COApl3,COA,OLF,bottom
COApm,COA,OLF,bottom
COApm1-2,COA,OLF,bottom
COApm1-3,COA,OLF,bottom
COApm1,COA,OLF,bottom
COApm2,COA,OLF,bottom
COApm3,COA,OLF,bottom
PAA,PAA,OLF,bottom
PAA1-3,PAA,OLF,bottom
PAA1,PAA,OLF,bottom
PAA2,PAA,OLF,bottom
PAA3,PAA,OLF,bottom
TR,TR,OLF,bottom
TR1-3,TR,OLF,bottom
TR1,TR,OLF,bottom
TR2,TR,OLF,bottom
TR3,TR,OLF,bottom
HPF,HPF,HPF,upper
HIP,HPF,HPF,upper
CA,HPF,HPF,upper
CA1,CA1,HPF,bottom
CA1slm,CA1,HPF,bottom
CA1so,CA1,HPF,bottom
CA1sp,CA1,HPF,bottom
CA1sr,CA1,HPF,bottom
CA2,CA2,HPF,bottom
CA2slm,CA2,HPF,bottom
CA2so,CA2,HPF,bottom
CA2sp,CA2,HPF,bottom
CA2sr,CA2,HPF,bottom
CA3,CA3,HPF,bottom
CA3slm,CA3,HPF,bottom
CA3slu,CA3,HPF,bottom
CA3so,CA3,HPF,bottom
CA3sp,CA3,HPF,bottom
CA3sr,CA3,HPF,bottom
DG,DG,HPF,bottom
DG-mo,DG,HPF,bottom
DG-po,DG,HPF,bottom
DG-sg,DG,HPF,bottom
DG-sgz,DG,HPF,bottom
DGcr,DG,HPF,bottom
DGcr-mo,DG,HPF,bottom
DGcr-po,DG,HPF,bottom
DGcr-sg,DG,HPF,bottom
DGlb,DG,HPF,bottom
DGlb-mo,DG,HPF,bottom
DGlb-po,DG,HPF,bottom
DGlb-sg,DG,HPF,bottom
DGmb,DG,HPF,bottom
DGmb-mo,DG,HPF,bottom
DGmb-po,DG,HPF,bottom
DGmb-sg,DG,HPF,bottom
FC,HPF,HPF,upper
IG,HPF,HPF,upper
RHP,HPF,HPF,upper
ENT,ENT,HPF,bottom
ENTl,ENT,HPF,bottom
ENTl1,ENT,HPF,bottom
ENTl2,ENT,HPF,bottom
ENTl2/3,ENT,HPF,bottom
ENTl2a,ENT,HPF,bottom
ENTl2b,ENT,HPF,bottom
ENTl3,ENT,HPF,bottom
ENTl4,ENT,HPF,bottom
ENTl4/5,ENT,HPF,bottom
ENTl5,ENT,HPF,bottom
ENTl5/6,ENT,HPF,bottom
ENTl6a,ENT,HPF,bottom
ENTl6b,ENT,HPF,bottom
ENTm,ENT,HPF,bottom
ENTm1,ENT,HPF,bottom
ENTm2,ENT,HPF,bottom
ENTm2a,ENT,HPF,bottom
ENTm2b,ENT,HPF,bottom
ENTm3,ENT,HPF,bottom
ENTm4,ENT,HPF,bottom
ENTm5,ENT,HPF,bottom
ENTm5/6,ENT,HPF,bottom
ENTm6,ENT,HPF,bottom
ENTmv,ENT,HPF,bottom
ENTmv1,ENT,HPF,bottom
ENTmv2,ENT,HPF,bottom
ENTmv3,ENT,HPF,bottom
ENTmv4,ENT,HPF,bottom
ENTmv5/6,ENT,HPF,bottom
PAR,PAR,HPF,bottom
PAR1,PAR,HPF,bottom
PAR2,PAR,HPF,bottom
PAR3,PAR,HPF,bottom
POST,POST,HPF,bottom
POST1,POST,HPF,bottom
POST2,POST,HPF,bottom
POST3,POST,HPF,bottom
PRE,PRE,HPF,bottom
PRE1,PRE,HPF,bottom
PRE2,PRE,HPF,bottom
PRE3,PRE,HPF,bottom
SUB,SUB,HPF,bottom
SUBd,SUB,HPF,bottom
SUBd-m,SUB,HPF,bottom
SUBd-sp,SUB,HPF,bottom
SUBd-sr,SUB,HPF,bottom
SUBv,SUB,HPF,bottom
SUBv-m,SUB,HPF,bottom
SUBv-sp,SUB,HPF,bottom
SUBv-sr,SUB,HPF,bottom
ProS,HPF,HPF,upper
ProSd,HPF,HPF,upper
ProSd-m,HPF,HPF,upper
ProSd-sp,HPF,HPF,upper
ProSd-sr,HPF,HPF,upper
ProSv,HPF,HPF,upper
ProSv-m,HPF,HPF,upper
ProSv-sp,HPF,HPF,upper
Prosv-sr,HPF,HPF,upper
HATA,HPF,HPF,upper
APr,HPF,HPF,upper
CTXsp,CTXsp,CTXsp,upper
6b,6b,CTXsp,bottom
CLA,CLA,CTXsp,bottom
EP,EP,CTXsp,bottom
EPd,EP,CTXsp,bottom
EPv,EP,CTXsp,bottom
LA,LA,CTXsp,bottom
BLA,BLA,CTXsp,bottom
BLAa,BLA,CTXsp,bottom
BLAp,BLA,CTXsp,bottom
BLAv,BLA,CTXsp,bottom
BMA,BMA,CTXsp,bottom
BMAa,BMA,CTXsp,bottom
BMAp,BMA,CTXsp,bottom
PA,PA,CTXsp,bottom
CNU,root,root,excluded
STR,STR,STR,upper
STRd,STR,STR,upper
CP,CP,STR,bottom
STRv,STR,STR,upper
ACB,ACB,STR,bottom
FS,FS,STR,bottom
OT,OT,STR,bottom
isl,OT,STR,bottom
islm,OT,STR,bottom
OT1-3,OT,STR,bottom
OT1,OT,STR,bottom
OT2,OT,STR,bottom
OT3,OT,STR,bottom
LSS,LSS,STR,bottom
LSX,STR,STR,upper
LS,LS,STR,bottom
LSc,LS,STR,bottom
LSr,LS,STR,bottom
LSv,LS,STR,bottom
